id,weights,attention_to_politics,pres_vote,economy,immigration,crime,party_id,age,educ,race,gender,income
140081,0.268633588760345,Some of the time,Kamala Harris,Disapprove strongly,Disapprove strongly,Approve strongly,Not very strong Democrat,47,Bachelor’s degree,"White, non-Hispanic",Woman,62500
140082,0.347306959958605,Most of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Not very strong Democrat,49,"Some post-high school, no bachelor’s degree","Black, non-Hispanic",Woman,21250
140083,0.334775176501753,Always,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Independent-Democrat,48,Bachelor’s degree,"White, non-Hispanic",Woman,162500
140084,0.617678411551171,Some of the time,Kamala Harris,Approve strongly,Approve strongly,Approve not strongly,Strong Democrat,54,"Some post-high school, no bachelor’s degree",Hispanic,Woman,85000
140085,0.504605885190281,Some of the time,Kamala Harris,Disapprove not strongly,Disapprove not strongly,Disapprove strongly,Independent-Democrat,40,Graduate degree,"White, non-Hispanic",Woman,85000
140086,0.980394347521574,Most of the time,Kamala Harris,Disapprove not strongly,Approve not strongly,Approve not strongly,Independent-Democrat,37,Bachelor’s degree,"White, non-Hispanic",Woman,137500
140087,1.6756444576584,About half the time,Donald Trump,Disapprove not strongly,Disapprove strongly,Disapprove not strongly,Strong Republican,59,High school credential,"White, non-Hispanic",Woman,95000
140088,1.07864978960418,About half the time,NA,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,32,Bachelor’s degree,"White, non-Hispanic",Woman,250000
140089,0.402091154093623,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,38,Graduate degree,"White, non-Hispanic",Woman,250000
140090,1.23238255897912,Some of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,28,Graduate degree,"White, non-Hispanic",Woman,212500
140092,0.804226701011232,Most of the time,Kamala Harris,Approve strongly,Approve not strongly,Approve strongly,Not very strong Democrat,79,High school credential,"White, non-Hispanic",Man,37500
140093,0.367123979819178,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,65,Bachelor’s degree,"White, non-Hispanic",Man,32500
140094,0.220098564269954,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,80,Graduate degree,"White, non-Hispanic",Woman,52500
140095,0.689973685914391,Most of the time,Kamala Harris,Approve strongly,Disapprove not strongly,Approve not strongly,Independent-Democrat,62,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,85000
140096,0.354301525970106,Most of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Not very strong Democrat,54,"Some post-high school, no bachelor’s degree",Hispanic,Woman,117500
