YEAR,MONTH,WTMP,ID
2016,2,20.66897546897547,41048
2016,3,20.39609164420485,41048
2016,4,20.539554317548745,41048
2016,5,22.821253405994554,41048
2016,6,25.463534361851334,41048
2016,7,28.251156462585033,41048
2016,8,29.248443843031122,41048
2016,9,28.82608089260809,41048
2016,10,26.859756097560975,41048
2016,11,23.661958041958044,41048
2016,12,22.400674763832658,41048
2017,1,21.265679676985194,41048
2017,2,20.602831594634875,41048
2017,3,20.088617886178863,41048
2017,4,20.972118959107807,41048
2017,5,23.326666666666657,41048
2017,6,26.03128634566178,41048
2017,7,28.192824909747294,41048
2017,8,28.329133680162858,41048
2017,9,27.151420586865385,41048
2017,10,25.981484814398197,41048
2017,11,24.798530783582088,41048
2017,12,23.566207674943577,41048
2018,1,21.620185352622038,41048
2018,2,20.74505247376312,41048
2018,3,19.945573327325974,41048
2018,4,20.883643988816402,41048
2018,5,23.331199278629384,41048
2018,6,25.989839572192516,41048
2018,7,27.062280306444347,41048
2018,8,28.538673285198556,41048
2018,9,28.233170048985315,41048
2018,10,26.462034739454108,41048
2019,5,23.09704343870821,41048
2019,6,26.129135432283846,41048
2019,7,27.971831303563373,41048
2019,8,28.567269439421338,41048
2019,9,27.807171129220052,41048
2019,10,26.00346232179226,41048
2019,11,24.89378780828293,41048
2019,12,22.705470508779833,41048
2020,1,21.487610020311447,41048
2020,2,20.902702050663446,41048
2020,3,20.613636363636363,41048
2020,4,20.1493585257756,41048
2020,5,21.919827390415616,41048
2020,6,24.53666277712953,41048
2020,7,27.677182492226738,41048
2020,8,29.253537629562867,41048
2020,9,28.153049348230905,41048
2020,10,26.70763669227293,41048
2020,11,24.630845892075843,41048
2020,12,22.366065388951498,41048
2021,1,21.011592241768152,41048
2021,2,20.072368092023005,41048
2021,3,20.89098219414129,41048
2021,4,21.188463334890237,41048
2021,5,22.104251012145745,41048
2021,6,25.100465332712893,41048
2021,7,27.320694319206495,41048
2021,8,28.578544061302683,41048
2021,9,28.210181733457595,41048
2021,10,26.822259810554815,41048
2021,11,24.715685361880386,41048
2021,12,22.88140477262494,41048
2022,1,22.019625957638574,41048
2022,2,21.103119540803593,41048
2022,3,21.660063176895306,41048
2022,4,20.85275314979001,41048
2022,5,22.836563557274047,41048
2022,6,24.59514563106796,41048
2023,5,23.272958735733106,41048
2023,6,24.74536369974436,41048
2023,7,27.832537716730464,41048
2023,8,28.520781567653035,41048
2023,9,25.668247628557165,41048
2009,5,24.62342995169082,41049
2009,6,26.566944444444445,41049
2009,7,28.21787634408602,41049
2009,8,28.610661268556004,41049
2009,9,28.17625,41049
2009,10,28.23733153638814,41049
2009,11,26.211018131101813,41049
2009,12,25.057335127860025,41049
2010,1,23.474491180461328,41049
2010,2,21.86711509715994,41049
2010,3,22.529166666666665,41049
2010,4,23.318793828892005,41049
2010,5,24.405114401076716,41049
2010,6,26.139082058414466,41049
2010,7,28.033333333333335,41049
2010,8,28.84731182795699,41049
2010,9,27.588873435326846,41049
2010,10,26.710752688172043,41049
2010,11,25.541585535465924,41049
2010,12,23.871777476255087,41049
2011,1,23.17217741935484,41049
2011,2,21.968562874251496,41049
2011,3,22.290243902439023,41049
2011,4,22.424191279887484,41049
2011,5,23.806048387096773,41049
2011,6,26.799686520376177,41049
2011,7,28.76505376344086,41049
2011,8,29.23603238866397,41049
2011,9,28.087447698744768,41049
2011,10,26.694204851752023,41049
2011,11,25.82280945757997,41049
2011,12,24.253566621803497,41049
2012,1,22.588783783783786,41049
2012,2,22.183333333333334,41049
2012,3,21.871967654986523,41049
2012,4,21.742618384401116,41049
2012,5,24.36044943820225,41049
2012,6,26.247426981919332,41049
2012,7,28.282099596231493,41049
2012,8,29.411440107671602,41049
2012,9,27.335694444444442,41049
2012,10,27.045833333333334,41049
2012,11,25.912499999999998,41049
2012,12,24.15994623655914,41049
2013,1,22.70578734858681,41049
2013,2,22.098507462686566,41049
2013,3,21.976048714479024,41049
2013,4,23.605571030640668,41049
2013,5,23.69298245614035,41049
2013,6,25.85558659217877,41049
2013,7,89.79932614555263,41049
2013,8,29.306233062330623,41049
2013,9,28.77510431154381,41049
2013,10,28.205390835579514,41049
2013,11,26.895664335664335,41049
2013,12,25.33978494623656,41049
2014,1,25.024694708276797,41049
2014,2,24.276842105263157,41049
2014,3,23.917798913043477,41049
2014,4,23.84726507713885,41049
2014,5,24.67795918367347,41049
2014,6,27.317158931082982,41049
2014,7,28.5753052917232,41049
2014,8,29.50843537414966,41049
2014,9,29.502380952380953,41049
2014,10,27.763306451612905,41049
2014,11,26.240277777777777,41049
2014,12,25.095827725437417,41049
2015,1,24.336559139784946,41049
2015,2,23.03154761904762,41049
2015,3,23.377254374158817,41049
2015,4,24.36317991631799,41049
2015,5,25.293674293405115,41049
2015,6,26.992916666666666,41049
2015,7,29.175540540540542,41049
2015,8,29.911725067385444,41049
2015,9,29.78565459610028,41049
2015,10,28.394324324324323,41049
2015,11,26.377158774373257,41049
2015,12,24.855390835579517,41049
2016,1,23.795405405405404,41049
2016,2,23.23024602026049,41049
2016,3,23.20391363022942,41049
2016,4,23.867364016736403,41049
2016,5,25.14052197802198,41049
2016,6,27.06858345021038,41049
2016,7,29.327111716621253,41049
2016,8,29.893478260869564,41049
2016,9,29.278969359331477,41049
2016,10,27.197967479674794,41049
2016,11,25.42153846153846,41049
2016,12,24.200404858299596,41049
2017,1,23.006056527590847,41049
2017,2,22.582886904761903,41049
2017,3,22.300271002710026,41049
2017,4,22.360555555555557,41049
2017,5,24.24943820224719,41049
2017,6,27.210027855153204,41049
2017,7,28.84581081081081,41049
2017,8,29.492059219380888,41049
2017,9,28.797083333333333,41049
2017,10,27.43606998654105,41049
2017,11,26.384401114206128,41049
2017,12,25.24233870967742,41049
2018,1,24.6,41049
2018,2,24.194452773613193,41049
2018,3,23.422432058959004,41049
2018,4,24.121997206703913,41049
2018,5,25.35972034280559,41049
2018,6,27.379986020503264,41049
2018,7,27.853403967538327,41049
2018,8,28.802708192281656,41049
2018,9,28.542593888500114,41049
2018,10,27.377157017346242,41049
2018,11,25.931740852948028,41049
2018,12,24.374083467834915,41049
2019,1,23.62870835235053,41049
2019,2,23.415134865134863,41049
2019,3,23.231527206218566,41049
2019,4,24.326121310713454,41049
2019,5,25.23527027027027,41049
2019,6,27.716724912631054,41049
2019,7,29.447672842295525,41049
2019,8,29.855460288808665,41049
2019,9,29.000511390051134,41049
2019,10,27.73099164219562,41049
2019,11,26.733946021405302,41049
2019,12,25.069522691705792,41049
2020,5,26.04325529542921,41049
2020,6,26.934140097742613,41049
2020,7,28.51697346402104,41049
2020,8,29.643117819328676,41049
2020,9,28.195383539286528,41049
2020,10,27.295428830052046,41049
