congress,bioname,state_abbrev,district_code,party,nominate_dim1,nominate_dim2
102,"HAMILTON, Lee Herbert",IN,9,Democrat,-0.171,-0.053
102,"JACOBS, Andrew, Jr.",IN,10,Democrat,-0.07,-0.846
102,"MYERS, John Thomas",IN,7,Republican,0.236,0.254
102,"SHARP, Philip Riley",IN,2,Democrat,-0.166,-0.283
102,"BURTON, Danny Lee",IN,6,Republican,0.585,-0.026
102,"McCLOSKEY, Francis Xavier",IN,8,Democrat,-0.336,0.094
102,"VISCLOSKY, Peter",IN,1,Democrat,-0.402,0.244
102,"JONTZ, James Prather",IN,5,Democrat,-0.357,-0.286
102,"LONG, Jill Lynette",IN,4,Democrat,-0.224,0.065
102,"ROEMER, Timothy John",IN,3,Democrat,-0.165,0.229
102,"SMITH, Neal Edward",IA,4,Democrat,-0.313,0.174
102,"LEACH, James Albert Smith",IA,1,Republican,0.141,-0.79
102,"LIGHTFOOT, James Ross",IA,5,Republican,0.391,-0.211
102,"GRANDY, Frederick Lawrence",IA,6,Republican,0.283,-0.465
102,"NAGLE, David Ray",IA,3,Democrat,-0.349,-0.052
102,"NUSSLE, James Allen",IA,2,Republican,0.417,-0.178
102,"GLICKMAN, Daniel Robert",KS,4,Democrat,-0.133,-0.149
102,"ROBERTS, Charles Patrick (Pat)",KS,1,Republican,0.413,-0.09
102,"SLATTERY, James Charles",KS,2,Democrat,-0.099,-0.04
102,"MEYERS, Jan",KS,3,Republican,0.208,-0.541
102,"NICHOLS, Richard",KS,5,Republican,0.398,0.203
102,"NATCHER, William Huston",KY,2,Democrat,-0.288,0.575
102,"MAZZOLI, Romano Louis",KY,3,Democrat,-0.186,-0.016
102,"HUBBARD, Carroll, Jr.",KY,1,Democrat,-0.038,0.476
102,"HOPKINS, Larry Jones",KY,6,Republican,0.347,-0.242
102,"ROGERS, Harold Dallas (Hal)",KY,5,Republican,0.333,0.152
102,"PERKINS, Carl Christopher",KY,7,Democrat,-0.56,0.793
102,"BUNNING, James Paul David",KY,4,Republican,0.521,-0.049
102,"HUCKABY, Thomas Jerald",LA,5,Democrat,-0.009,0.507
